GROUPID,INDIVUDALID,Column1,Column2,Column3,Column4,Column5,Column6
D,33727,11,16,35,45,71,85
E,26231,11,27,32,59,70,76
A,54783,10,25,39,46,61,88
C,46162,10,22,31,51,70,87
B,52671,15,27,40,53,62,88
G,36896,11,23,35,60,72,76
B,27772,11,18,30,60,74,84
J,2302,10,27,40,45,64,76
F,32138,12,22,38,53,64,80
F,23824,10,27,33,60,72,80
H,50143,15,26,33,60,73,83
H,45220,13,26,32,50,64,80
D,44385,13,22,45,52,66,76
D,26851,15,18,44,47,63,77
A,26875,10,23,39,46,60,80
A,46275,13,18,35,47,66,78
D,30918,10,19,44,53,64,90
D,43907,12,27,34,55,69,76
B,61849,15,27,38,55,68,81
D,12682,12,19,38,59,61,86
H,11073,10,30,39,53,65,79
B,48876,14,26,44,53,68,90
A,64018,12,16,30,58,75,82
G,18867,14,21,40,49,72,80
C,21820,14,16,38,58,72,83
E,22884,12,15,35,55,63,89
B,24464,10,17,38,56,68,78
D,52771,10,23,41,46,65,79
A,46243,11,29,31,59,62,77
B,35083,11,22,35,58,64,78
E,50652,14,23,43,52,69,84
E,35979,15,26,36,45,69,89
G,53260,14,19,43,52,73,86
A,25509,15,25,37,53,60,82
F,14069,13,28,41,51,68,77
F,33272,14,15,31,45,62,83
E,47762,12,27,41,59,62,81
H,46245,12,21,45,56,75,87
D,35206,14,24,39,52,60,76
A,47635,10,16,36,58,74,78
H,59758,15,15,30,47,62,83
B,48570,10,15,42,55,70,76
J,42343,10,28,32,51,63,88
D,21095,15,19,33,56,63,90
B,43754,11,21,43,48,66,84
F,7518,13,21,39,45,66,80
C,47189,12,28,42,50,71,86
B,53504,14,15,37,60,62,90
C,7564,10,16,31,56,67,86
B,3697,15,24,34,48,73,87
E,45707,14,16,31,46,72,76
J,5204,10,18,31,58,68,78
J,35042,14,26,39,46,67,85
J,17911,15,30,43,54,73,84
H,26617,13,26,39,52,74,90
J,9778,14,23,41,47,61,85
D,953,12,19,43,47,66,76
D,51223,14,28,31,50,75,80
A,59003,15,21,31,56,73,81
H,47231,13,25,43,54,75,81
G,16357,13,27,37,54,64,86
J,1894,13,28,41,54,72,79
H,59028,10,26,43,57,66,88
G,4334,13,18,44,45,67,75
B,381,11,17,40,55,63,75
C,943,13,26,41,57,60,75
C,2883,12,24,31,45,67,84
G,45416,15,15,37,49,67,77
G,61647,15,15,30,47,72,89
D,54127,15,17,33,60,66,89
E,12255,15,22,35,47,74,78
H,46490,11,18,32,53,64,89
C,49846,13,30,38,52,65,88
F,51133,10,27,40,50,66,78
A,2060,10,28,42,57,67,80
C,30197,14,30,33,52,68,79
B,9943,14,23,36,56,69,83
D,23657,13,20,36,56,74,85
A,49653,12,28,39,57,69,85
C,51023,10,27,36,60,69,87
F,17351,13,17,37,50,61,86
E,27172,11,29,32,49,66,80
A,3334,11,25,37,51,62,82
G,23052,11,19,44,58,73,84
H,37318,10,30,44,45,69,82
G,58957,15,19,30,47,73,84
G,50128,10,30,36,58,65,83
B,64545,11,24,38,52,62,82
B,12414,14,18,43,56,60,85
H,61990,15,26,44,46,65,90
G,59683,13,21,37,55,68,83
B,22362,13,22,45,48,66,82
E,53829,15,24,37,47,60,76
F,35783,15,28,30,59,74,87
B,1075,11,25,32,49,62,82
D,1656,11,20,33,50,75,89
B,34889,11,29,30,54,73,80
J,26473,13,26,42,49,64,83
F,10769,10,19,43,46,67,90
H,47942,11,30,33,52,62,90
